Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10107","","","None","192.168.108.15","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
remote web server.","n/a","","The remote web server type is :

Microsoft-IIS/7.5"
"10107","","","None","192.168.108.15","tcp","81","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
remote web server.","n/a","","The remote web server type is :

Apache/2.4.23 (Win32) OpenSSL/1.0.2h PHP/5.5.38

You can set the directive 'ServerTokens Prod' to limit the information
emanating from the server in its response headers."
"10107","","","None","192.168.108.15","tcp","443","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
remote web server.","n/a","","The remote web server type is :

Apache/2.4.23 (Win32) OpenSSL/1.0.2h PHP/5.5.38

You can set the directive 'ServerTokens Prod' to limit the information
emanating from the server in its response headers."
"10114","CVE-1999-0524","","None","192.168.108.15","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The ICMP timestamps seem to be in little endian format (not in network format)
The difference between the local and remote clocks is -203 seconds.
"
"10150","","","None","192.168.108.15","udp","137","Windows NetBIOS / SMB Remote Host Information Disclosure","It was possible to obtain the network name of the remote host.","The remote host is listening on UDP port 137 or TCP port 445, and
replies to NetBIOS nbtscan or SMB requests.

Note that this plugin gathers information to be used in other plugins,
but does not itself generate a report.","n/a","","The following 6 NetBIOS names have been gathered :

 IE10WIN7         = File Server Service
 IE10WIN7         = Computer name
 WORKGROUP        = Workgroup / Domain name
 WORKGROUP        = Browser Service Elections
 WORKGROUP        = Master Browser
 __MSBROWSE__     = Master Browser

The remote host has the following MAC address on its adapter :

   08:00:27:ff:21:6d"
"10185","","","None","192.168.108.15","tcp","110","POP Server Detection","A POP server is listening on the remote port.","The remote host is running a server that understands the Post Office
Protocol (POP), used by email clients to retrieve messages from a
server, possibly across a network link.","Disable this service if you do not use it.","http://en.wikipedia.org/wiki/Post_Office_Protocol","
Remote POP server banner :

+OK <245261337.17473@localhost>, POP3 server ready.
"
"10198","CVE-1999-0103","","None","192.168.108.15","udp","17","Quote of the Day (QOTD) Service Detection","The quote service (qotd) is running on this host.","A server listens for TCP connections on TCP port 17. Once a connection 
is established a short message is sent out the connection (and any 
data received is thrown away). The service closes the connection 
after sending the quote.

Another quote of the day service is defined as a datagram based
application on UDP.  A server listens for UDP datagrams on UDP port 17.
When a datagram is received, an answering datagram is sent containing 
a quote (the data in the received datagram is ignored).

An easy attack is 'pingpong' which IP spoofs a packet between two machines
running qotd. This will cause them to spew characters at each other,
slowing the machines down and saturating the network.","- Under Unix systems, comment out the 'qotd' line in /etc/inetd.conf
  and restart the inetd process
 
- Under Windows systems, set the following registry keys to 0 :
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableTcpQotd
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableUdpQotd
   
Then launch cmd.exe and type :

   net stop simptcp
   net start simptcp
   
To restart the service.","",""
"10198","CVE-1999-0103","","None","192.168.108.15","tcp","17","Quote of the Day (QOTD) Service Detection","The quote service (qotd) is running on this host.","A server listens for TCP connections on TCP port 17. Once a connection 
is established a short message is sent out the connection (and any 
data received is thrown away). The service closes the connection 
after sending the quote.

Another quote of the day service is defined as a datagram based
application on UDP.  A server listens for UDP datagrams on UDP port 17.
When a datagram is received, an answering datagram is sent containing 
a quote (the data in the received datagram is ignored).

An easy attack is 'pingpong' which IP spoofs a packet between two machines
running qotd. This will cause them to spew characters at each other,
slowing the machines down and saturating the network.","- Under Unix systems, comment out the 'qotd' line in /etc/inetd.conf
  and restart the inetd process
 
- Under Windows systems, set the following registry keys to 0 :
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableTcpQotd
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableUdpQotd
   
Then launch cmd.exe and type :

   net stop simptcp
   net start simptcp
   
To restart the service.","",""
"10263","","","None","192.168.108.15","tcp","25","SMTP Server Detection","An SMTP server is listening on the remote port.","The remote host is running a mail (SMTP) server on this port. 

Since SMTP servers are the targets of spammers, it is recommended you
disable it if you do not use it.","Disable this service if you do not use it, or filter incoming traffic
to this port.","","
Remote SMTP server banner :

220 localhost ESMTP server ready.
"
"10287","","","None","192.168.108.15","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.108.88 to 192.168.108.15 : 
192.168.108.88
192.168.108.15
"
"10394","","","None","192.168.108.15","tcp","445","Microsoft Windows SMB Log In Possible","It was possible to log into the remote host.","The remote host is running a Microsoft Windows operating system or
Samba, a CIFS/SMB server for Unix. It was possible to log into it
using one of the following accounts :

- NULL session
- Guest account
- Supplied credentials","n/a","http://support.microsoft.com/kb/143474
http://support.microsoft.com/kb/246261","- NULL sessions are enabled on the remote host.
"
"10662","","","None","192.168.108.15","tcp","81","Web mirroring","Nessus can crawl the remote website.","This plugin makes a mirror of the remote website(s) and extracts the
list of CGIs that are used by the remote host. 

It is suggested that you change the number of pages to mirror in the
'Options' section of the client.","n/a","","
Webmirror performed 288 queries in 12s (24.000 queries per second)

The following CGIs have been discovered :


+ CGI : /
  Methods : GET
  Argument : 
   Value: util_ldap.c

Directory index found at /xampp/
Directory index found at /img/
Directory index found at /dashboard/stylesheets/
Directory index found at /dashboard/images/
Directory index found at /dashboard/images/addons/
Directory index found at /dashboard/images/blog/
Directory index found at /dashboard/images/flags/
Directory index found at /dashboard/images/screenshots/
Directory index found at /dashboard/images/stamps/
Directory index found at /dashboard/images/team/
Directory index found at /dashboard/docs/
Directory index found at /dashboard/docs/images/
Directory index found at /dashboard/docs/images/access-phpmyadmin-remotely/
Directory index found at /dashboard/docs/images/activate-use-xdebug/
Directory index found at /dashboard/docs/images/backup-restore-mysql/
Directory index found at /dashboard/docs/images/configure-vhosts/
Directory index found at /dashboard/docs/images/configure-wildcard-subdomains/
Directory index found at /dashboard/docs/images/create-framework-project-zf1/
Directory index found at /dashboard/docs/images/create-framework-project-zf2/
Directory index found at /dashboard/docs/images/deploy-git-app/
Directory index found at /dashboard/docs/images/install-wordpress/
Directory index found at /dashboard/docs/images/reset-mysql-password/
Directory index found at /dashboard/docs/images/send-mail/
Directory index found at /dashboard/docs/images/transfer-files-ftp/
Directory index found at /dashboard/docs/images/troubleshoot-apache/
Directory index found at /dashboard/docs/images/use-different-php-version/
Directory index found at /dashboard/docs/images/use-php-fcgi/
Directory index found at /dashboard/docs/images/use-sqlite/

Extraneous phpinfo() script found at /dashboard/phpinfo.php
"
"10662","","","None","192.168.108.15","tcp","443","Web mirroring","Nessus can crawl the remote website.","This plugin makes a mirror of the remote website(s) and extracts the
list of CGIs that are used by the remote host. 

It is suggested that you change the number of pages to mirror in the
'Options' section of the client.","n/a","","
Webmirror performed 288 queries in 13s (22.0153 queries per second)

The following CGIs have been discovered :


+ CGI : /
  Methods : GET
  Argument : 
   Value: util_ldap.c

Directory index found at /xampp/
Directory index found at /img/
Directory index found at /dashboard/stylesheets/
Directory index found at /dashboard/images/
Directory index found at /dashboard/images/addons/
Directory index found at /dashboard/images/blog/
Directory index found at /dashboard/images/flags/
Directory index found at /dashboard/images/screenshots/
Directory index found at /dashboard/images/stamps/
Directory index found at /dashboard/images/team/
Directory index found at /dashboard/docs/
Directory index found at /dashboard/docs/images/
Directory index found at /dashboard/docs/images/access-phpmyadmin-remotely/
Directory index found at /dashboard/docs/images/activate-use-xdebug/
Directory index found at /dashboard/docs/images/backup-restore-mysql/
Directory index found at /dashboard/docs/images/configure-vhosts/
Directory index found at /dashboard/docs/images/configure-wildcard-subdomains/
Directory index found at /dashboard/docs/images/create-framework-project-zf1/
Directory index found at /dashboard/docs/images/create-framework-project-zf2/
Directory index found at /dashboard/docs/images/deploy-git-app/
Directory index found at /dashboard/docs/images/install-wordpress/
Directory index found at /dashboard/docs/images/reset-mysql-password/
Directory index found at /dashboard/docs/images/send-mail/
Directory index found at /dashboard/docs/images/transfer-files-ftp/
Directory index found at /dashboard/docs/images/troubleshoot-apache/
Directory index found at /dashboard/docs/images/use-different-php-version/
Directory index found at /dashboard/docs/images/use-php-fcgi/
Directory index found at /dashboard/docs/images/use-sqlite/

Extraneous phpinfo() script found at /dashboard/phpinfo.php
"
"10662","","","None","192.168.108.15","tcp","2224","Web mirroring","Nessus can crawl the remote website.","This plugin makes a mirror of the remote website(s) and extracts the
list of CGIs that are used by the remote host. 

It is suggested that you change the number of pages to mirror in the
'Options' section of the client.","n/a","","
Webmirror performed 8 queries in 1s (8.000 queries per second)

The following CGIs have been discovered :


+ CGI : /mlss/SubscribeToList
  Methods : POST
  Argument : SubProceed
   Value: Proceed...


+ CGI : /mlss/ManageSubscription
  Methods : GET
  Argument : MSubEmailAddress
  Argument : MSubPwd
  Argument : MSubscription
   Value: Subscription...


+ CGI : /mlss/ForgotPassword
  Methods : POST
  Argument : EmailAddress
  Argument : ForgotPassword
   Value: Mail password...


+ CGI : /mlss/MassChange
  Methods : POST
  Argument : EmailAddress
  Argument : ListStatus
   Value: StatusUnsubscribe
  Argument : MassChangeStatus
   Value: Set Status...
"
"10677","","5.0","Medium","192.168.108.15","tcp","81","Apache mod_status /server-status Information Disclosure","The remote web server discloses information about its status.","It is possible to obtain an overview of the remote Apache web server's
activity and performance by requesting the URL '/server-status'.  This
overview includes information such as current hosts and requests being
processed, the number of workers idle and service requests, and CPU
utilization.","If required, update Apache's configuration file(s) to either disable
mod_status or ensure that access is limited to valid users / hosts.","",""
"10677","","5.0","Medium","192.168.108.15","tcp","443","Apache mod_status /server-status Information Disclosure","The remote web server discloses information about its status.","It is possible to obtain an overview of the remote Apache web server's
activity and performance by requesting the URL '/server-status'.  This
overview includes information such as current hosts and requests being
processed, the number of workers idle and service requests, and CPU
utilization.","If required, update Apache's configuration file(s) to either disable
mod_status or ensure that access is limited to valid users / hosts.","",""
"10678","","5.0","Medium","192.168.108.15","tcp","81","Apache mod_info /server-info Information Disclosure","The remote web server discloses information about its configuration.","It is possible to obtain an overview of the remote Apache web server's
configuration by requesting the URL '/server-info'.  This overview
includes information such as installed modules, their configuration,
and assorted run-time settings.","If required, update Apache's configuration file(s) to either disable
mod_info or ensure that access is limited to valid users / hosts.","http://httpd.apache.org/docs/mod/mod_info.html",""
"10678","","5.0","Medium","192.168.108.15","tcp","443","Apache mod_info /server-info Information Disclosure","The remote web server discloses information about its configuration.","It is possible to obtain an overview of the remote Apache web server's
configuration by requesting the URL '/server-info'.  This overview
includes information such as installed modules, their configuration,
and assorted run-time settings.","If required, update Apache's configuration file(s) to either disable
mod_info or ensure that access is limited to valid users / hosts.","http://httpd.apache.org/docs/mod/mod_info.html",""
